Data;Arrecad
01/01/1997;3517394742
01/02/1997;3273898505
01/03/1997;3250024464
01/04/1997;3296885612
01/05/1997;3356427329
01/06/1997;3338877139
01/07/1997;3446095549
01/08/1997;3430896181
01/09/1997;3496668585
01/10/1997;3508903454
01/11/1997;3477082537
01/12/1997;5314570450
01/01/1998;3497545833
01/02/1998;3355696119
01/03/1998;3372651643
01/04/1998;3286452127
01/05/1998;3526112458
01/06/1998;3448201566
01/07/1998;3282564868
01/08/1998;3598255650
01/09/1998;3436342449
01/10/1998;3439302828
01/11/1998;3195301477
01/12/1998;5975964292
01/01/1999;3317253492
01/02/1999;3310694194
01/03/1999;3394190224
01/04/1999;3491806306
01/05/1999;3410515682
01/06/1999;3487328137
01/07/1999;3510058979
01/08/1999;3506185254
01/09/1999;3479362211
01/10/1999;3430911746
01/11/1999;3430611933
01/12/1999;6194937799
01/01/2000;3405812463
01/02/2000;3520187339
01/03/2000;3728876979
01/04/2000;3574855144
01/05/2000;3748480061
01/06/2000;3781708093
01/07/2000;3837416913
01/08/2000;3891566013
01/09/2000;3749838053
01/10/2000;3740985143
01/11/2000;3749421986
01/12/2000;6335341360
01/01/2001;3797722946
01/02/2001;3914592337
01/03/2001;3794440903
01/04/2001;3886188985
01/05/2001;3983489804
01/06/2001;4066780356
01/07/2001;3976897588
01/08/2001;4009046870
01/09/2001;3888737433
01/10/2001;3989890138
01/11/2001;3978576714
01/12/2001;6689973612
01/01/2002;3977401973
01/02/2002;4006943431
01/03/2002;3985710220
01/04/2002;4107459906
01/05/2002;4227094434
01/06/2002;4025269738
01/07/2002;4356699877
01/08/2002;4357576555
01/09/2002;4297083972
01/10/2002;4503128582
01/11/2002;4216915104
01/12/2002;7175250239
01/01/2003;3828769617
01/02/2003;4237909784
01/03/2003;3927526777
01/04/2003;3995763764
01/05/2003;4112839875
01/06/2003;4201994545
01/07/2003;4356566086
01/08/2003;4432889756
01/09/2003;4456053772
01/10/2003;4691199745
01/11/2003;4413715214
01/12/2003;8234638462
01/01/2004;3897374801
01/02/2004;4719542478
01/03/2004;4721659905
01/04/2004;4749744771
01/05/2004;4784828612
01/06/2004;5171137537
01/07/2004;4886290090
01/08/2004;4912457860
01/09/2004;4809016546
01/10/2004;5001127473
01/11/2004;4928936961
01/12/2004;8500049364
01/01/2005;5116669311
01/02/2005;4669315362
01/03/2005;5197287715
01/04/2005;5396213668
01/05/2005;5122812103
01/06/2005;5374547242
01/07/2005;5294588138
01/08/2005;5587202091
01/09/2005;5447851874
01/10/2005;5392079290
01/11/2005;5586898099
01/12/2005;9545513997
01/01/2006;5038217337
01/02/2006;5708530023
01/03/2006;5617311108
01/04/2006;5663229336
01/05/2006;5838094870
01/06/2006;5895795582
01/07/2006;5936809686
01/08/2006;6109591025
01/09/2006;6345056793
01/10/2006;6268315942
01/11/2006;6317170052
01/12/2006;10518365233
01/01/2007;5716752122
01/02/2007;6278877965
01/03/2007;6323304034
01/04/2007;6366616605
01/05/2007;6484844847
01/06/2007;6528581886
01/07/2007;6678071377
01/08/2007;6950232650
01/09/2007;6769639127
01/10/2007;6946978890
01/11/2007;6961855070
01/12/2007;11683632708
01/01/2008;6582613404
01/02/2008;6985776096
01/03/2008;7086768707
01/04/2008;7359593060
01/05/2008;7330793405
01/06/2008;7468413862
01/07/2008;7611006295
01/08/2008;7577530963
01/09/2008;7702021290
01/10/2008;7708341575
01/11/2008;7740143565
01/12/2008;13087979671
01/01/2009;6838589222
01/02/2009;7461718765
01/03/2009;8042119781
01/04/2009;7952669292
01/05/2009;8106728340
01/06/2009;7901044076
01/07/2009;8015795093
01/08/2009;8072297886
01/09/2009;7888376480
01/10/2009;8308588188
01/11/2009;9373441450
01/12/2009;14242052387
01/01/2010;7800939825
01/02/2010;8391647096
01/03/2010;8739366132
01/04/2010;8957301404
01/05/2010;9073939923
01/06/2010;9073156812
01/07/2010;9217193768
01/08/2010;9481177572
01/09/2010;9347049194
01/10/2010;9545948194
01/11/2010;9695983244
01/12/2010;16459277242
01/01/2011;9188223718
01/02/2011;9502690913
01/03/2011;9591844725
01/04/2011;9831522741
01/05/2011;10068112033
01/06/2011;10362518009
01/07/2011;10429772599
01/08/2011;10775540737
01/09/2011;10400061251
01/10/2011;10758390845
01/11/2011;10748678842
01/12/2011;18094171827
01/01/2012;10189635174
01/02/2012;9753263764
01/03/2012;11514261603
01/04/2012;11240803969
01/05/2012;11248461573
01/06/2012;11146437728
01/07/2012;11457065817
01/08/2012;11561554573
01/09/2012;11055220149
01/10/2012;11414939346
01/11/2012;11429118761
01/12/2012;19566805511
01/01/2013;10796193861
01/02/2013;11017260841
01/03/2013;11363228356
01/04/2013;12637248316
01/05/2013;12170783538
01/06/2013;12006295142
01/07/2013;12297448691
01/08/2013;12388593952
01/09/2013;12438521860
01/10/2013;12610744821
01/11/2013;12691148531
01/12/2013;20541005661
01/01/2014;12038002805
01/02/2014;12383043123
01/03/2014;12186823449
01/04/2014;13006194195
01/05/2014;12882592056
01/06/2014;12990307372
01/07/2014;12960092560
01/08/2014;13455405030
01/09/2014;13250437300
01/10/2014;13253817282
01/11/2014;13810681758
01/12/2014;20872445605
01/01/2015;12300627822
01/02/2015;12736351680
01/03/2015;12680172813
01/04/2015;14233957009
01/05/2015;13191805345
01/06/2015;12809213685
01/07/2015;12954058707
01/08/2015;12928518909
01/09/2015;12592969247
01/10/2015;11963686028
01/11/2015;11868133932
01/12/2015;22170560262
01/01/2016;12272563215
01/02/2016;12630056134
01/03/2016;12835628710
01/04/2016;13655568451
01/05/2016;12631764025
01/06/2016;12719026318
01/07/2016;12235371993
01/08/2016;12682052727
01/09/2016;12306161093
01/10/2016;12543403730
01/11/2016;12668957695
01/12/2016;20734183211
01/01/2017;11894165814
01/02/2017;12541163808
01/03/2017;12793710269
01/04/2017;13723128146
01/05/2017;13007641764
01/06/2017;13123773685
01/07/2017;13045722272
01/08/2017;13325181680
01/09/2017;13238213927
01/10/2017;13242747589
01/11/2017;13409632246
01/12/2017;21501445489
